slug,nom,nationalite,poste,statut,club,ligue,pays_club,ville_club,continent,est_etranger
kairi-kouchi,Kairi  Kouchi,Japan,Right Back,active,Toyota Auto Body,JHL (Japan),Japan,Aichi,Hors-Europe,FALSE
junki-fujimoto,Junki  Fujimoto,Japan,Right Back,active,Toyota Auto Body,JHL (Japan),Japan,Aichi,Hors-Europe,FALSE
tomoya-sakurai,Tomoya  Sakurai,Japan,Right Back,active,Toyota Auto Body,JHL (Japan),Japan,Aichi,Hors-Europe,FALSE
jin-watanabe,Jin  Watanabe,Japan,Right Back,active,Toyota Auto Body,JHL (Japan),Japan,Aichi,Hors-Europe,FALSE
kai-dippe,Kai  Dippe,Germany,Line Player,active,Sydney Uni Handball Club,Australian Handball Club Championships,Australia,Sydney,Europe,TRUE
markus-hansen,Markus  Hansen,Germany,Centre Back,active,Sydney Uni Handball Club,Australian Handball Club Championships,Australia,Sydney,Europe,TRUE
andor-horvath,Andor  Horvath,Hungary,Left Wing,active,KTE Kezilabda,no info,Hungary,Kecskemet,Europe,FALSE
adam-orszagh,Ádám  Országh,Hungary,Right Wing,active,KTE Kezilabda,no info,Hungary,Kecskemet,Europe,FALSE
marcell-csordas,Marcell Csordas,Hungary,Right Wing,active,KTE Kezilabda,no info,Hungary,Kecskemet,Europe,FALSE
levente-sipeki,Levente  Sipeki,Hungary,Left Back,active,KTE Kezilabda,no info,Hungary,Kecskemet,Europe,FALSE
attila-fustos,Attila  Fustos,Hungary,Left Back,active,KTE Kezilabda,no info,Hungary,Kecskemet,Europe,FALSE
bence-simon,Bence  Simon,Hungary,Centre Back,active,KTE Kezilabda,no info,Hungary,Kecskemet,Europe,FALSE
tamas-forgacs,Tamas Forgacs,Hungary,Centre Back,active,KTE Kezilabda,no info,Hungary,Kecskemet,Europe,FALSE
keisuke-hiramoto,Keisuke  Hiramoto,Japan,Centre Back,active,KTE Kezilabda,no info,Hungary,Kecskemet,Hors-Europe,TRUE
berkantas-drungilas,Berkantas Drungilas,Lithuania,Goalkeeper,active,Pieno Zvaigzdes,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Pasvalys,Europe,FALSE
ilya-pobochenko,Ilya Pobochenko,Kazakhstan,Goalkeeper,active,Pieno Zvaigzdes,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Pasvalys,Hors-Europe,TRUE
manfredas-zaldokas,Manfredas Zaldokas,Lithuania,Goalkeeper,active,Pieno Zvaigzdes,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Pasvalys,Europe,FALSE
benas-vaicekonis,Benas Vaicekonis,Lithuania,Goalkeeper,active,Pieno Zvaigzdes,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Pasvalys,Europe,FALSE
oleksandr-kasai,Oleksandr  Kasai,Ukraine,Left Wing,active,Pieno Zvaigzdes,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Pasvalys,Europe,TRUE
karolis-piragis,Karolis Piragis,Lithuania,Right Wing,active,Pieno Zvaigzdes,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Pasvalys,Europe,FALSE
domantas-pukas,Domantas  Pukas,Lithuania,Line Player,active,Pieno Zvaigzdes,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Pasvalys,Europe,FALSE
modestas-starolis,Modestas  Štarolis,Lithuania,Left Back,active,Pieno Zvaigzdes,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Pasvalys,Europe,FALSE
igor-odinokov,Igor  Odinokov,Ukraine,Left Back,active,Pieno Zvaigzdes,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Pasvalys,Europe,TRUE
titas-janusonis,Titas Janusonis,Lithuania,Centre Back,active,Pieno Zvaigzdes,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Pasvalys,Europe,FALSE
rolandas-indrisiunas,Rolandas Indrisiunas,Lithuania,active,,Pieno Zvaigzdes,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Pasvalys,Europe,FALSE
eimantas-spokavicius,Eimantas Spokavicius,Lithuania,active,,Pieno Zvaigzdes,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Pasvalys,Europe,FALSE
roman-litynskyi,Roman Litynskyi,Ukraine,active,,Pieno Zvaigzdes,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Pasvalys,Europe,TRUE
maksim-vakula,Maksim Vakula,Ukraine,active,,Pieno Zvaigzdes,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Pasvalys,Europe,TRUE
vytautas-impolis,Vytautas Impolis,Lithuania,active,,Pieno Zvaigzdes,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Pasvalys,Europe,FALSE
vytenis-jareckas,Vytenis Jareckas,Lithuania,active,,Pieno Zvaigzdes,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Pasvalys,Europe,FALSE
vismantas-moderis,Vismantas Moderis,Lithuania,active,,Pieno Zvaigzdes,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Pasvalys,Europe,FALSE
ivan-puzanov,Ivan Puzanov,Lithuania,active,,Pieno Zvaigzdes,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Pasvalys,Europe,FALSE
justinas-zalupas,Justinas Zalupas,Lithuania,active,,Pieno Zvaigzdes,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Pasvalys,Europe,FALSE
andrii-kosariev,Andrii Kosariev,Lithuania,active,,Pieno Zvaigzdes,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Pasvalys,Europe,FALSE
eligijus-tekutis,Eligijus Tekutis,Lithuania,active,,Pieno Zvaigzdes,Lietuvos Rankinio Lyga (Lithuania),Lithuania,Pasvalys,Europe,FALSE
yunus-ozmusul,Yunus  Özmusul,Turkey,Goalkeeper,active,DEPSAS Enerji Spor Kulubu,Turkish Superlig (Turkey),Turkey,,Europe,FALSE
taner-gunay,Taner Günay,Turkey,Goalkeeper,active,DEPSAS Enerji Spor Kulubu,Turkish Superlig (Turkey),Turkey,,Europe,FALSE
arda-eray-uygur,Arda Eray Uygur,Turkey,Goalkeeper,active,DEPSAS Enerji Spor Kulubu,Turkish Superlig (Turkey),Turkey,,Europe,FALSE
samet-kanberoglu,Samet  Kanberoglu,Turkey,Left Wing,active,DEPSAS Enerji Spor Kulubu,Turkish Superlig (Turkey),Turkey,,Europe,FALSE
kazim-emre-bicici,Kazim Emre Bicici,Turkey,Left Wing,active,DEPSAS Enerji Spor Kulubu,Turkish Superlig (Turkey),Turkey,,Europe,FALSE
basir-bugday,Baris Bugday,Turkey,Right Wing,active,DEPSAS Enerji Spor Kulubu,Turkish Superlig (Turkey),Turkey,,Europe,FALSE
ahemt-aydin,Ahmet Aydin,Turkey,Right Wing,active,DEPSAS Enerji Spor Kulubu,Turkish Superlig (Turkey),Turkey,,Europe,FALSE
atila-zaman,Atila  Zaman,Turkey,Line Player,active,DEPSAS Enerji Spor Kulubu,Turkish Superlig (Turkey),Turkey,,Europe,FALSE
emre-yaniceri,Emre Yaniceri,Turkey,Line Player,active,DEPSAS Enerji Spor Kulubu,Turkish Superlig (Turkey),Turkey,,Europe,FALSE
egemen-cakir,Egemen  Cakir,Turkey,Left Back,active,DEPSAS Enerji Spor Kulubu,Turkish Superlig (Turkey),Turkey,,Europe,FALSE
janko-kustudic,Janko Kustudic,Montenegro,Left Back,active,DEPSAS Enerji Spor Kulubu,Turkish Superlig (Turkey),Turkey,,Europe,TRUE
joao-fernando-quialanda,Joao Fernando Quialanda,Angola,Left Back,active,DEPSAS Enerji Spor Kulubu,Turkish Superlig (Turkey),Turkey,,Hors-Europe,TRUE
kerem-orhun-hacioglu,Kerem Orhun  Hacioglu,Turkey,Centre Back,active,DEPSAS Enerji Spor Kulubu,Turkish Superlig (Turkey),Turkey,,Europe,FALSE
ozan-ozes-63,Ozan Ozes,Turkey,Centre Back,active,DEPSAS Enerji Spor Kulubu,Turkish Superlig (Turkey),Turkey,,Europe,FALSE
adem-tunc-kucuk,Adem Tunc Kucuk,Turkey,Right Back,active,DEPSAS Enerji Spor Kulubu,Turkish Superlig (Turkey),Turkey,,Europe,FALSE
janis-boieck,Janis  Boieck,Germany,Goalkeeper,active,HC Oppenweiler/Backnang,2. HBL (Germany),Germany,Oppenweiler,Europe,FALSE
dave-hornig,Dave  Hornig,Germany,Goalkeeper,active,HC Oppenweiler/Backnang,2. HBL (Germany),Germany,Oppenweiler,Europe,FALSE
paul-krugele,Paul  Krugele,Germany,Left Wing,active,HC Oppenweiler/Backnang,2. HBL (Germany),Germany,Oppenweiler,Europe,FALSE
martin-schmiedt,Martin  Schmiedt,Germany,Left Wing,active,HC Oppenweiler/Backnang,2. HBL (Germany),Germany,Oppenweiler,Europe,FALSE
felix-klingler,Felix Klingler,Germany,Right Wing,active,HC Oppenweiler/Backnang,2. HBL (Germany),Germany,Oppenweiler,Europe,FALSE
cedric-mayer,Cedric  Mayer,Germany,Right Wing,active,HC Oppenweiler/Backnang,2. HBL (Germany),Germany,Oppenweiler,Europe,FALSE
ruben-sousa,Ruben  Sousa,Portugal,Line Player,active,HC Oppenweiler/Backnang,2. HBL (Germany),Germany,Oppenweiler,Europe,TRUE
tjorvi-tyr-gislason,Tjorvi  Tyr Gislason,Iceland,Line Player,active,HC Oppenweiler/Backnang,2. HBL (Germany),Germany,Oppenweiler,Europe,TRUE
lukas-rauh,Lukas  Rauh,Germany,Line Player,active,HC Oppenweiler/Backnang,2. HBL (Germany),Germany,Oppenweiler,Europe,FALSE
dominik-weiss,Dominik  Weiß,Germany,Left Back,active,HC Oppenweiler/Backnang,2. HBL (Germany),Germany,Oppenweiler,Europe,FALSE
niklas-diebel,Niklas  Diebel,Germany,Left Back,active,HC Oppenweiler/Backnang,2. HBL (Germany),Germany,Oppenweiler,Europe,FALSE
nick-frohlich,Nick  Frohlich,Germany,Left Back,active,HC Oppenweiler/Backnang,2. HBL (Germany),Germany,Oppenweiler,Europe,FALSE
valentin-abt,Valentin  Abt,Germany,Centre Back,active,HC Oppenweiler/Backnang,2. HBL (Germany),Germany,Oppenweiler,Europe,FALSE
timm-buck,Timm  Buck,Germany,Centre Back,active,HC Oppenweiler/Backnang,2. HBL (Germany),Germany,Oppenweiler,Europe,FALSE
luis-foege,Luis  Foege,Germany,Right Back,active,HC Oppenweiler/Backnang,2. HBL (Germany),Germany,Oppenweiler,Europe,FALSE
jan-forstbauer,Jan  Forstbauer,Germany,Right Back,active,HC Oppenweiler/Backnang,2. HBL (Germany),Germany,Oppenweiler,Europe,FALSE
luka-stanojlovic,Luka  Stanojlovic,Slovenia,Goalkeeper,active,MRK Krka,1. NLB Leasing Liga (Slovenia),Slovenia,Novo Mesto,Europe,FALSE
jure-blazevic,Jure  Blaževič,Slovenia,Goalkeeper,active,MRK Krka,1. NLB Leasing Liga (Slovenia),Slovenia,Novo Mesto,Europe,FALSE
mantas-urvikis,Mantas Urvikis,Lithuania,Left Wing,active,MRK Krka,1. NLB Leasing Liga (Slovenia),Slovenia,Novo Mesto,Europe,TRUE
aleks-kastelec,Aleks Kastelec,Slovenia,Left Wing,active,MRK Krka,1. NLB Leasing Liga (Slovenia),Slovenia,Novo Mesto,Europe,FALSE
sebastjan-vidmar,Sebastjan Vidmar,Slovenia,Left Wing,active,MRK Krka,1. NLB Leasing Liga (Slovenia),Slovenia,Novo Mesto,Europe,FALSE
jernej-avsec,Jernej  Avsec,Slovenia,Right Wing,active,MRK Krka,1. NLB Leasing Liga (Slovenia),Slovenia,Novo Mesto,Europe,FALSE
vojislav-vukic,Vojislav Vukić,Montenegro,Right Wing,active,MRK Krka,1. NLB Leasing Liga (Slovenia),Slovenia,Novo Mesto,Europe,TRUE
dino-raso,Dino  Rašo,Slovenia,Line Player,active,MRK Krka,1. NLB Leasing Liga (Slovenia),Slovenia,Novo Mesto,Europe,FALSE
djordje-ratkovic,Djordje  Ratkovic,Bosnia-Herzegovina,Line Player,active,MRK Krka,1. NLB Leasing Liga (Slovenia),Slovenia,Novo Mesto,Europe,TRUE
izidor-budja,Izidor  Budja,Slovenia,Left Back,active,MRK Krka,1. NLB Leasing Liga (Slovenia),Slovenia,Novo Mesto,Europe,FALSE
klemen-matko,Klemen  Matko,Slovenia,Left Back,active,MRK Krka,1. NLB Leasing Liga (Slovenia),Slovenia,Novo Mesto,Europe,FALSE
aljaz-lavric,Aljaz  Lavric,Slovenia,Left Back,active,MRK Krka,1. NLB Leasing Liga (Slovenia),Slovenia,Novo Mesto,Europe,FALSE
matevz-zagar,Matevž  Žagar,Slovenia,Centre Back,active,MRK Krka,1. NLB Leasing Liga (Slovenia),Slovenia,Novo Mesto,Europe,FALSE
tilen-kukman,Tilen  Kukman,Slovenia,Centre Back,active,MRK Krka,1. NLB Leasing Liga (Slovenia),Slovenia,Novo Mesto,Europe,FALSE
matic-derganc,Matic Derganc,Slovenia,Right Back,active,MRK Krka,1. NLB Leasing Liga (Slovenia),Slovenia,Novo Mesto,Europe,FALSE
luka-muhic,Luka Muhic,Slovenia,Right Back,active,MRK Krka,1. NLB Leasing Liga (Slovenia),Slovenia,Novo Mesto,Europe,FALSE
jakob-scuka,Jakob Scuka,Slovenia,Right Back,active,MRK Krka,1. NLB Leasing Liga (Slovenia),Slovenia,Novo Mesto,Europe,FALSE
antonin-bartosik,Antonin Bartosik,Czech Republic,Goalkeeper,active,HK FCC Mešto Lovosice,Strabag Rail Extraliga (Czech),Czech Republic,Lovosice,Europe,FALSE
jakub-lavicka,Jakub Lavicka,Czech Republic,Goalkeeper,active,HK FCC Mešto Lovosice,Strabag Rail Extraliga (Czech),Czech Republic,Lovosice,Europe,FALSE
pavel-choteborsky,Pavel Choteborsky,Czech Republic,Left Wing,active,HK FCC Mešto Lovosice,Strabag Rail Extraliga (Czech),Czech Republic,Lovosice,Europe,FALSE
jachym-novak,Jachym Novak,Czech Republic,Left Wing,active,HK FCC Mešto Lovosice,Strabag Rail Extraliga (Czech),Czech Republic,Lovosice,Europe,FALSE
tomas-fech,Tomáš  Fech,Slovakia,Right Wing,active,HK FCC Mešto Lovosice,Strabag Rail Extraliga (Czech),Czech Republic,Lovosice,Europe,TRUE
karel-holubec,Karel  Holubec,Czech Republic,Line Player,active,HK FCC Mešto Lovosice,Strabag Rail Extraliga (Czech),Czech Republic,Lovosice,Europe,FALSE
patrik-stach,Patrik  Stach,Czech Republic,Line Player,active,HK FCC Mešto Lovosice,Strabag Rail Extraliga (Czech),Czech Republic,Lovosice,Europe,FALSE
jakub-donat,Jakub Donat,Czech Republic,Line Player,active,HK FCC Mešto Lovosice,Strabag Rail Extraliga (Czech),Czech Republic,Lovosice,Europe,FALSE
frantisek-safranek,Frantisek Safranek,Czech Republic,Line Player,active,HK FCC Mešto Lovosice,Strabag Rail Extraliga (Czech),Czech Republic,Lovosice,Europe,FALSE
pavel-horak,Pavel  Horak,Czech Republic,Left Back,active,HK FCC Mešto Lovosice,Strabag Rail Extraliga (Czech),Czech Republic,Lovosice,Europe,FALSE
jan-kupa,Jan  Kupa,Czech Republic,Left Back,active,HK FCC Mešto Lovosice,Strabag Rail Extraliga (Czech),Czech Republic,Lovosice,Europe,FALSE
jaroslav-trkovsky,Jaroslav  Trkovsky,Czech Republic,Left Back,active,HK FCC Mešto Lovosice,Strabag Rail Extraliga (Czech),Czech Republic,Lovosice,Europe,FALSE
tadeas-pokorny,Tadeas Pokorny,Czech Republic,Left Back,active,HK FCC Mešto Lovosice,Strabag Rail Extraliga (Czech),Czech Republic,Lovosice,Europe,FALSE
martin-riha,Martin Riha,Czech Republic,Centre Back,active,HK FCC Mešto Lovosice,Strabag Rail Extraliga (Czech),Czech Republic,Lovosice,Europe,FALSE
bohdan-mizera,Bohdan Mizera,Czech Republic,Right Back,active,HK FCC Mešto Lovosice,Strabag Rail Extraliga (Czech),Czech Republic,Lovosice,Europe,FALSE
marek-hnidak,Marek Hnidak,Slovakia,Right Back,active,HK FCC Mešto Lovosice,Strabag Rail Extraliga (Czech),Czech Republic,Lovosice,Europe,TRUE
pavel-vojir,Pavel Vojir,Czech Republic,Back,active,HK FCC Mešto Lovosice,Strabag Rail Extraliga (Czech),Czech Republic,Lovosice,Europe,FALSE
carl-aronius,Carl  Aronius,Sweden,Goalkeeper,active,HK Varberg,Allsvenskan (Sweden),Sweden,Varberg,Europe,FALSE
gustav-medin,Gustav  Medin,Sweden,Goalkeeper,active,HK Varberg,Allsvenskan (Sweden),Sweden,Varberg,Europe,FALSE
olle-sjostrom,Olle  Sjostrom,Sweden,Goalkeeper,active,HK Varberg,Allsvenskan (Sweden),Sweden,Varberg,Europe,FALSE
daniel-lindroos,Daniel  Lindroos,Sweden,Left Wing,active,HK Varberg,Allsvenskan (Sweden),Sweden,Varberg,Europe,FALSE
linus-lindberg,Linus Lindberg,Finland,Left Wing,active,HK Varberg,Allsvenskan (Sweden),Sweden,Varberg,Europe,TRUE
julian-sjogren,Julian  Sjogren,Sweden,Left Wing,active,HK Varberg,Allsvenskan (Sweden),Sweden,Varberg,Europe,FALSE
elliot-sjolin,Elliot  Sjolin,Sweden,Right Wing,active,HK Varberg,Allsvenskan (Sweden),Sweden,Varberg,Europe,FALSE
jacob-friberg,Jacob  Friberg,Sweden,Line Player,active,HK Varberg,Allsvenskan (Sweden),Sweden,Varberg,Europe,FALSE
axel-skoog,Axel  Skoog,Sweden,Line Player,active,HK Varberg,Allsvenskan (Sweden),Sweden,Varberg,Europe,FALSE
jonathan-lind,Jonathan  Lind,Sweden,Line Player,active,HK Varberg,Allsvenskan (Sweden),Sweden,Varberg,Europe,FALSE
simon-brodow,Simon  Brodow,Sweden,Line Player,active,HK Varberg,Allsvenskan (Sweden),Sweden,Varberg,Europe,FALSE
filip-berentsen,Filip  Berentsen,Sweden,Left Back,active,HK Varberg,Allsvenskan (Sweden),Sweden,Varberg,Europe,FALSE
daniel-lindgren,Daniel Lindgren,Sweden,Left Back,active,HK Varberg,Allsvenskan (Sweden),Sweden,Varberg,Europe,FALSE
adam-lagergren,Adam  Lagergren,Sweden,Left Back,active,HK Varberg,Allsvenskan (Sweden),Sweden,Varberg,Europe,FALSE
august-gudmundsson,August  Gudmundsson,Sweden,Left Back,active,HK Varberg,Allsvenskan (Sweden),Sweden,Varberg,Europe,FALSE
axel-stjernberg,Axel  Stjernberg,Sweden,Left Back,active,HK Varberg,Allsvenskan (Sweden),Sweden,Varberg,Europe,FALSE
olle-roken,Olle  Roken,Sweden,Left Back,active,HK Varberg,Allsvenskan (Sweden),Sweden,Varberg,Europe,FALSE
linus-eriksson,Linus Eriksson,Sweden,Centre Back,active,HK Varberg,Allsvenskan (Sweden),Sweden,Varberg,Europe,FALSE
filip-andersson-moberg,Filip  Andersson Moberg,Sweden,Centre Back,active,HK Varberg,Allsvenskan (Sweden),Sweden,Varberg,Europe,FALSE
elias-lundqvist,Elias  Lundqvist,Sweden,Right Back,active,HK Varberg,Allsvenskan (Sweden),Sweden,Varberg,Europe,FALSE
johan-szybanow,Johan  Szybanow,Sweden,Right Back,active,HK Varberg,Allsvenskan (Sweden),Sweden,Varberg,Europe,FALSE
tobias-bengtsson,Tobias  Bengtsson,Sweden,Right Back,active,HK Varberg,Allsvenskan (Sweden),Sweden,Varberg,Europe,FALSE
svend-rughave,Svend  Rughave,Denmark,Goalkeeper,active,Mors-Thy Handbold,Herre Håndbold Ligaen (Denmark),Denmark,Nykøbing Mors,Europe,FALSE
oliver-larsen,Oliver Larsen,Denmark,Goalkeeper,active,Mors-Thy Handbold,Herre Håndbold Ligaen (Denmark),Denmark,Nykøbing Mors,Europe,FALSE
magnus-norlyk,Magnus Norlyk,Denmark,Left Wing,active,Mors-Thy Handbold,Herre Håndbold Ligaen (Denmark),Denmark,Nykøbing Mors,Europe,FALSE
christoffer-brorson-hansen,Christoffer Brorson Hansen,Denmark,Left Wing,active,Mors-Thy Handbold,Herre Håndbold Ligaen (Denmark),Denmark,Nykøbing Mors,Europe,FALSE
lasse-pedersen,Lasse  Pedersen,Denmark,Right Wing,active,Mors-Thy Handbold,Herre Håndbold Ligaen (Denmark),Denmark,Nykøbing Mors,Europe,FALSE
malthe-rolighed-bull,Malthe Rolighed Bull,Denmark,Right Wing,active,Mors-Thy Handbold,Herre Håndbold Ligaen (Denmark),Denmark,Nykøbing Mors,Europe,FALSE
henrik-toft-hansen,Henrik Toft  Hansen,Denmark,Line Player,active,Mors-Thy Handbold,Herre Håndbold Ligaen (Denmark),Denmark,Nykøbing Mors,Europe,FALSE
kasper-lindgren,Kasper  Lindgren,Denmark,Line Player,active,Mors-Thy Handbold,Herre Håndbold Ligaen (Denmark),Denmark,Nykøbing Mors,Europe,FALSE
kasper-didriksen,Kasper Didriksen,Denmark,Line Player,active,Mors-Thy Handbold,Herre Håndbold Ligaen (Denmark),Denmark,Nykøbing Mors,Europe,FALSE
jonas-dehn-nielsen,Jonas  Dehn Nielsen,Denmark,Line Player,active,Mors-Thy Handbold,Herre Håndbold Ligaen (Denmark),Denmark,Nykøbing Mors,Europe,FALSE
nichlas-hald-christensen,Nichlas Hald  Christensen,Denmark,Left Back,active,Mors-Thy Handbold,Herre Håndbold Ligaen (Denmark),Denmark,Nykøbing Mors,Europe,FALSE
lasse-pedersen-5,Lasse Pedersen,Denmark,Left Back,active,Mors-Thy Handbold,Herre Håndbold Ligaen (Denmark),Denmark,Nykøbing Mors,Europe,FALSE
silas-overby,Silas  Overby,Denmark,Left Back,active,Mors-Thy Handbold,Herre Håndbold Ligaen (Denmark),Denmark,Nykøbing Mors,Europe,FALSE
victor-norlyk,Victor Norlyk,Denmark,Centre Back,active,Mors-Thy Handbold,Herre Håndbold Ligaen (Denmark),Denmark,Nykøbing Mors,Europe,FALSE
anton-houe,Anton  Houe,Denmark,Centre Back,active,Mors-Thy Handbold,Herre Håndbold Ligaen (Denmark),Denmark,Nykøbing Mors,Europe,FALSE
frederik-bak,Frederik  Bak,Denmark,Centre Back,active,Mors-Thy Handbold,Herre Håndbold Ligaen (Denmark),Denmark,Nykøbing Mors,Europe,FALSE
rasmus-madsen,Rasmus Madsen,Denmark,Right Back,active,Mors-Thy Handbold,Herre Håndbold Ligaen (Denmark),Denmark,Nykøbing Mors,Europe,FALSE
kristoffer-vestergaard-48,Kristoffer Vestergaard,Denmark,Right Back,active,Mors-Thy Handbold,Herre Håndbold Ligaen (Denmark),Denmark,Nykøbing Mors,Europe,FALSE
gustav-sunesen,Gustav Sunesen,Denmark,Right Back,active,Mors-Thy Handbold,Herre Håndbold Ligaen (Denmark),Denmark,Nykøbing Mors,Europe,FALSE
urban-lesjak,Urban  Lesjak,Slovenia,Goalkeeper,active,RK Trimo Trebnje,1. NLB Leasing Liga (Slovenia),Slovenia,Trebnje,Europe,FALSE
mark-salamon,Mark Salamon,Slovenia,Goalkeeper,active,RK Trimo Trebnje,1. NLB Leasing Liga (Slovenia),Slovenia,Trebnje,Europe,FALSE
mihajlo-vujadinovic,Mihajlo Vujadinovic,Bosnia-Herzegovina,Goalkeeper,active,RK Trimo Trebnje,1. NLB Leasing Liga (Slovenia),Slovenia,Trebnje,Europe,TRUE
darko-cingesar,Darko  Cingesar,Slovenia,Left Wing,active,RK Trimo Trebnje,1. NLB Leasing Liga (Slovenia),Slovenia,Trebnje,Europe,FALSE
marko-majstorovic,Marko  Majstorović,Slovenia,Left Wing,active,RK Trimo Trebnje,1. NLB Leasing Liga (Slovenia),Slovenia,Trebnje,Europe,FALSE
matic-pipp,Matic Pipp,Slovenia,Left Wing,active,RK Trimo Trebnje,1. NLB Leasing Liga (Slovenia),Slovenia,Trebnje,Europe,FALSE
jan-jurecic,Jan Jurečič,Slovenia,Right Wing,active,RK Trimo Trebnje,1. NLB Leasing Liga (Slovenia),Slovenia,Trebnje,Europe,FALSE
sergej-pavlovic,Sergej Pavlovic,Serbia,Right Wing,active,RK Trimo Trebnje,1. NLB Leasing Liga (Slovenia),Slovenia,Trebnje,Europe,TRUE
erazem-cizerle,Erazem Cizerle,Slovenia,Right Wing,active,RK Trimo Trebnje,1. NLB Leasing Liga (Slovenia),Slovenia,Trebnje,Europe,FALSE
david-didovic,David  Didovič,Slovenia,Line Player,active,RK Trimo Trebnje,1. NLB Leasing Liga (Slovenia),Slovenia,Trebnje,Europe,FALSE
lan-grbic,Lan  Grbić,Slovenia,Line Player,active,RK Trimo Trebnje,1. NLB Leasing Liga (Slovenia),Slovenia,Trebnje,Europe,FALSE
filip-baznik,Filip Baznik,Slovenia,Line Player,active,RK Trimo Trebnje,1. NLB Leasing Liga (Slovenia),Slovenia,Trebnje,Europe,FALSE
janez-gucek,Janez  Guček,Slovenia,Left Back,active,RK Trimo Trebnje,1. NLB Leasing Liga (Slovenia),Slovenia,Trebnje,Europe,FALSE
jaka-sorsak,Jaka Soršak,Slovenia,Left Back,active,RK Trimo Trebnje,1. NLB Leasing Liga (Slovenia),Slovenia,Trebnje,Europe,FALSE
elmas-avdic,Elmas Avdic,Bosnia-Herzegovina,Left Back,active,RK Trimo Trebnje,1. NLB Leasing Liga (Slovenia),Slovenia,Trebnje,Europe,TRUE
leon-raso,Leon  Rašo,Slovenia,Centre Back,active,RK Trimo Trebnje,1. NLB Leasing Liga (Slovenia),Slovenia,Trebnje,Europe,FALSE
marko-kotar,Marko  Kotar,Slovenia,Centre Back,active,RK Trimo Trebnje,1. NLB Leasing Liga (Slovenia),Slovenia,Trebnje,Europe,FALSE
aleksander-smolic,Aleksander Smolic,Slovenia,Centre Back,active,RK Trimo Trebnje,1. NLB Leasing Liga (Slovenia),Slovenia,Trebnje,Europe,FALSE
timotej-grmsek,Timotej  Grmšek,Slovenia,Right Back,active,RK Trimo Trebnje,1. NLB Leasing Liga (Slovenia),Slovenia,Trebnje,Europe,FALSE
veljko-pavlovic,Veljko Pavlovic,Serbia,Right Back,active,RK Trimo Trebnje,1. NLB Leasing Liga (Slovenia),Slovenia,Trebnje,Europe,TRUE
gleb-velikanov,Gleb  Velikanov,Russia,Goalkeeper,active,Kaustik Volgograd,Russian Super  (Russia),Russia,Volgograd,Europe,FALSE
nikita-mikhailov,Nikita Mikhailov,Russia,Goalkeeper,active,Kaustik Volgograd,Russian Super  (Russia),Russia,Volgograd,Europe,FALSE
igor-dubin,Igor Dubin,Russia,Goalkeeper,active,Kaustik Volgograd,Russian Super  (Russia),Russia,Volgograd,Europe,FALSE
sergey-kosenkov,Sergey  Kosenkov,Russia,Left Wing,active,Kaustik Volgograd,Russian Super  (Russia),Russia,Volgograd,Europe,FALSE
daniil-koltsov,Daniil Koltsov,Russia,Left Wing,active,Kaustik Volgograd,Russian Super  (Russia),Russia,Volgograd,Europe,FALSE
konstantin-kudinov,Konstantin Kudinov,Russia,Left Wing,active,Kaustik Volgograd,Russian Super  (Russia),Russia,Volgograd,Europe,FALSE
damir-mukhametov,Damir Mukhametov,Russia,Left Wing,active,Kaustik Volgograd,Russian Super  (Russia),Russia,Volgograd,Europe,FALSE
vladislav-vasiliev,Vladislav Vasiliev,Russia,Right Wing,active,Kaustik Volgograd,Russian Super  (Russia),Russia,Volgograd,Europe,FALSE
miroslav-zemlyanoi,Miroslav Zemlyanoi,Russia,Right Wing,active,Kaustik Volgograd,Russian Super  (Russia),Russia,Volgograd,Europe,FALSE
danil-kislyuk,Danil Kislyuk,Russia,Right Wing,active,Kaustik Volgograd,Russian Super  (Russia),Russia,Volgograd,Europe,FALSE
artemy-tropin,Artemy Tropin,Russia,Line Player,active,Kaustik Volgograd,Russian Super  (Russia),Russia,Volgograd,Europe,FALSE
artem-ushakov,Artem Ushakov,Russia,Line Player,active,Kaustik Volgograd,Russian Super  (Russia),Russia,Volgograd,Europe,FALSE
mihail-netesa,Mihail Netesa,Russia,Line Player,active,Kaustik Volgograd,Russian Super  (Russia),Russia,Volgograd,Europe,FALSE
